tid,name,weight
4101,National Marine Week,0
4102,30 Days Wild,1
4103,Wild About Gardens,2
4104,Red Squirrel Weekend,3
4105,Remember A Charity,4
4106,Dawn Chorus Day,5
4107,National Meadows Day,6
4108,Bluebells,7
