id,status,admin_name,name,address,town,postcode,grid_ref,lat,lon
5001,1,"Scudamore's Punting Company","Scudamore's Punting Company","Granta Place Boat Yard,

Cambridge,
Cambridgeshire",,"CB2 1RS",,"52.2008861","0.1140682"
5002,1,"Towcester Mill Brewery","The Mill","Chantry Lane,

Towcester,
Northamptonshire",,"NN12 6YY",,"52.1322989","-0.9895955"
