id,status,admin_name,name,address,town,postcode,grid_ref,lat,lon
5001,1,"Wildlife Trust HQ - The Kiln","The Wildlife Trusts","The Kiln,

Mather Road,
Newark
United Kingdom",,"NG24 1WT",,"53.080494","-0.8121096"
5002,1,"Carsington Water - Wildlife Discovery Room",Wildlife Discovery Room,"Carsington Water Visitor Centre,

Matlock,
Derbyshire",,"DE6 1ST",,53.0608012,-1.6434527
