nid,title,publication_date,show_date,author,header_type,header_image,header_silhouette,image,summary,categories,tags,further_content
701,"Mental Health and The Wildlife Trusts, by Dom Higgins",2017-05-12,1,5101,colour,,,113,"Part of our Mental Health Awareness Series. Dom Higgins is the Health and Wellbeing Manager for The Wildlife Trusts.",3801,3902,1504
702,A Farm where nature thrives,2016-11-10,1,5102,none,,,104,"You can't have a profitable farm and abundant wildlife, some say. But Nicholas Watts has proved you can. Welcome to Vine House Farm in Lincolnshire",3803,3902,1505
